apellido,nombre,titulo,genero,tema,recomendado,calificacion,codigo,editorial,disponible,zona
BERMÚDEZ DE CASTRO,JOSÉ MARÍA,EL CHICO DE LA GRAN DOLINA. EN LOS ORIGENES DE LO HUMANO,ENSAYO,PEDAGOGÍA/CIENCIA,,—,19-BER-CHI,CRÍTICA,True,General
BERNANOS,GEORGES,DIARIO DE UN CURA RURAL,NOVELA,DRAMA,,L-A1,12-BER-DIA,ENCUENTRO,True,General
BERNARD,JEAN,UN SACERDOTE EN DACHAU,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,●,L-A1,20-VER-SAC,PALABRA,True,General
BERZOSA,RAÚL,HACIA EL AÑO 2000: ¿QUÉ NOS ESPERA EN EL SIGLO XXI?,ENSAYO,POLÍTICA,,—,17-BER-HAC,DESCLÉE DE BROUWER,True,General
BILBAO-GOYOAGA,JESÚS,EL GENIO DE LA RÍA. UNA EVOCACIÓN DESDE LA RIBERA DE DEUSTO,ENSAYO,ARTE,,—,15-BIL-GEN,MUELLE DE URIBITARTE,True,General
BIOY CASARES,ADOLFO,LA INVENCIÓN DE MOREL,NOVELA,NEGRA,●,L-B1,12-BIO-INV,DESTINO,True,General
BLACK,BENJAMIN,EL LÉMUR,NOVELA,NEGRA,●,—,12-BLA-LEM,ALFAGUARA,True,General
BOCOS,FERMIN,EL RESPLANDOR DE LA GLORIA,NOVELA,HISTÓRICA,,L-A2,06-BOC-RES,PLAZA & JANÉS,True,General
BOCOS,FERMÍN,LA VENGANZA DE BYRON,NOVELA,HISTÓRICA,●,—,06-BOC-VEN,BELACQUA,True,General
BORGES,JORGE LUIS,ANTOLOGÍA POÉTICA 1923-1977,POESÍA,—,●,L-A2,09-BOR-ANT,ALIANZA,True,General
BORGES,JORGE LUIS,EL ALEPH,NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,L-B1,12-BOR-ALE,DESTINO,True,General
BOTELLA,ANABEL,OJOS AZULES EN KABUL,NOVELA,DRAMA,,L-B1,04-BOT-OJO,PLATAFORMA,True,General
BOTELLA,ANABEL,OJOS AZULES EN KABUL,NOVELA,DRAMA,,L-A2,04-BOT-OJO,NEO,True,General
BOURGET,PAUL,EL DISCÍPULO,NOVELA,DRAMA,●,L-A2,04-BOU-DIS,DEBATE,True,General
BOYNE,JOHN,EL NIÑO EN LA CIMA DE LA MONTAÑA,NOVELA,DRAMA,,L-B1,04-BOY-NIÑ,SALAMANDRA,True,General
BOZAL,VALERIANO,JOHANNES VERMEER DE DELFT,ENSAYO,ARTE,,—,15-BOZ-JOH,TF EDITORES,True,General
BRADBURY,RAY,MUCHO DESPUÉS DE MEDIANOCHE,RELATO(S),—,●,L-A2,10-BRA-MUC,MINOTAURO,True,General
BRADLEE,BEN,LA VIDA DE UN PERIODISTA,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,L-B1,20-BRA-VID,AGUILAR,True,General
BRADSHAW,GILLIAM,EL CONTADOR DE ARENA,NOVELA,HISTÓRICA,,L-A1,06-BRA-CON,SALAMANDRA,True,General
BRADSHAW,GILLIAM,EL FARO DE ALEJANDRÍA,NOVELA,HISTÓRICA,,L-B1,06-BRA-FAR,EMECÉ,True,General
BRADSHAW,GILLIAM,PÚRPURA IMPERIAL,NOVELA,HISTÓRICA,,L-B1,06-BRA-PUR,EMECÉ,True,General
BRADSHAW,GILLIAM,TEODORA. EMPERATRIZ DE BIZANCIO,NOVELA,HISTÓRICA,,L-B1,06-BRA-TEO,EMECÉ,True,General
BRAJNOVIC,LUKA,EL POEMA AMERICANO,POESÍA,—,,—,09-BRA-POE,PGLA,True,General
BRAJNOVIC,LUKA,EX PONTO,POESÍA,—,,—,09-BRA-EXP,PGLA,True,General
BRANDMULLER,WALTER,GALILEO Y LA IGLESIA,ENSAYO,HISTORIA,,P-A2,16-BRA-GAL,RIALP,True,General
BRETÓN DE LOS HERREROS,MANUEL,EL PELO DE LA DEHESA,TEATRO,—,,L-A1,11-BRE-PEL,CÁTEDRA,True,General
BROCH,HERMANN,LA MUERTE DE VIRGILIO,NOVELA,HISTÓRICA,,P-B1,12-BRO-MUE,ALIANZA,True,General
BRONTË,ANNE,LA INQUINA DE WILDFELL HALL,NOVELA,DRAMA,,—,04-BRO-INQ,ALBA,True,General
BRONTË,CHARLOTTE,JANE EYRE,NOVELA,DRAMA,,L-A2,04-BRO-JAN,CÍRCULO DE LECTORES,True,General
BRONTË,CHARLOTTE,JANE EYRE,NOVELA,DRAMA,●,L-A2,12-BRO-JAN,AUSTRAL,True,General
BRONTË,EMILY,CUMBRES BORRASCOSAS,NOVELA,DRAMA,,L-A2,04-BRO-CUM,DESTINO,True,General
BROOKER,ANITA,LEWIS PERCY,NOVELA,INGLÉS,,—,18-BRO-LEW,PENGUIN,True,General
BUCAY,JORGE,CARTAS PARA CLAUDIA,ENSAYO,PEDAGOGÍA/CIENCIA,,L-B1,19-BUC-CAR,INTEGRAL,True,General
BUCAY,JORGE,DEJAME QUE TE CUENTE,ENSAYO,PEDAGOGÍA/CIENCIA,,L-B1,19-BUC-DEJ,INTEGRAL,True,General
BUCAY,JORGE LUIS,DÉJAME QUE TE CUENTE…,RELATO(S),—,,L-B2,22-BUC-DEJ,RBA,True,General
